Depth (cm),Age (kyr BP),Density (g/cc),Fractional porosity,Density (g/cc).1,Dry bulk density,sedimentation rate,MAR(mg/cm²/yr)
375,13.245,1.7893,0.5572,1.7893,0.79230204,33.02,26.16181336
376,13.2875,1.7227,0.5959,1.7227,0.69614307,350,243.6500745
377,13.2905,1.7157,0.5999,1.7157,0.68645157,350,240.2580495
378,13.293,1.742,0.5847,1.742,0.7234526,350,253.20841
379,13.2955,1.7684,0.5694,1.7684,0.76147304,350,266.515564
380,13.299,1.7842,0.5602,1.7842,0.78469116,350,274.641906
381,13.3015,1.788,0.558,1.788,0.790296,350,276.6036
382,13.306,1.7303,0.5915,1.7303,0.70682755,350,247.3896425
383,13.3105,1.7084,0.6042,1.7084,0.67618472,350,236.664652
384,13.315,1.732,0.5905,1.732,0.709254,350,248.2389
385,13.3195,1.7639,0.572,1.7639,0.7549492,350,264.23222
386,13.324,1.7808,0.5622,1.7808,0.77963424,350,272.871984
387,13.328,1.7702,0.5683,1.7702,0.76419534,350,267.468369
388,13.332,1.7623,0.5729,1.7623,0.75267833,350,263.4374155
389,13.3355,1.7664,0.5705,1.7664,0.7586688,350,265.53408
390,13.3395,1.7581,0.5753,1.7581,0.74666507,350,261.3327745
391,13.343,1.7634,0.5722,1.7634,0.75438252,350,264.033882
392,13.347,1.7481,0.5811,1.7481,0.73227909,350,256.2976815
393,13.3505,1.7648,0.5715,1.7648,0.7562168,350,264.67588
394,13.3545,1.7579,0.5755,1.7579,0.74622855,350,261.1799925
395,13.3575,1.7584,0.5752,1.7584,0.74696832,350,261.438912
396,13.3615,1.7584,0.5752,1.7584,0.74696832,350,261.438912
397,13.3655,1.7479,0.5813,1.7479,0.73184573,350,256.1460055
398,13.369,1.7543,0.5776,1.7543,0.74101632,350,259.355712
399,13.3725,1.7484,0.581,1.7484,0.7325796,350,256.40286
400,13.376,1.7525,0.5786,1.7525,0.7385035,350,258.476225
401,13.38,1.7436,0.5837,1.7436,0.72586068,350,254.051238
402,13.3835,1.7431,0.584,1.7431,0.7251296,350,253.79536
403,13.387,1.7498,0.5802,1.7498,0.73456604,350,257.098114
404,13.3905,1.7446,0.5832,1.7446,0.72714928,350,254.502248
405,13.3935,1.7627,0.5727,1.7627,0.75320171,350,263.6205985
406,13.3975,1.7608,0.5738,1.7608,0.75045296,350,262.658536
407,13.4005,1.7532,0.5782,1.7532,0.73949976,350,258.824916
408,13.404,1.7521,0.5788,1.7521,0.73798452,350,258.294582
409,13.407,1.7459,0.5824,1.7459,0.72908784,350,255.180744
410,13.4105,1.7407,0.5855,1.7407,0.72152015,350,252.5320525
411,13.4135,1.7266,0.5936,1.7266,0.70169024,350,245.591584
412,13.417,1.7449,0.583,1.7449,0.7276233,350,254.668155
413,13.42,1.7529,0.5784,1.7529,0.73902264,350,258.657924
414,13.423,1.7301,0.5916,1.7301,0.70657284,350,247.300494
415,13.4265,1.7509,0.5796,1.7509,0.73607836,350,257.627426
416,13.43,1.7495,0.5803,1.7495,0.73426515,350,256.9928025
417,13.4325,1.7417,0.5849,1.7417,0.72297967,350,253.0428845
418,13.436,1.7469,0.5818,1.7469,0.73055358,350,255.693753
419,13.4395,1.7297,0.5918,1.7297,0.70606354,350,247.122239
420,13.442,1.7386,0.5866,1.7386,0.71873724,350,251.558034
421,13.4445,1.7411,0.5852,1.7411,0.72220828,350,252.772898
422,13.4475,1.734,0.5894,1.734,0.7119804,350,249.19314
423,13.45,1.7242,0.595,1.7242,0.698301,350,244.40535
424,13.453,1.7512,0.5793,1.7512,0.73672984,350,257.855444
425,13.455,1.7324,0.5903,1.7324,0.70976428,350,248.417498
426,13.4575,1.7354,0.5885,1.7354,0.7141171,350,249.940985
427,13.46,1.7393,0.5862,1.7393,0.71972234,350,251.902819
428,13.4625,1.7241,0.5951,1.7241,0.69808809,350,244.3308315
429,13.465,1.719,0.598,1.719,0.691038,350,241.8633
430,13.4675,1.7344,0.5891,1.7344,0.71266496,350,249.432736
431,13.4695,1.7107,0.6028,1.7107,0.67949004,350,237.821514
432,13.472,1.7127,0.6017,1.7127,0.68216841,350,238.7589435
433,13.4745,1.7133,0.6013,1.7133,0.68309271,350,239.0824485
434,13.477,1.7064,0.6054,1.7064,0.67334544,350,235.670904
435,13.4795,1.7144,0.6007,1.7144,0.68455992,350,239.595972
436,13.482,1.6977,0.6104,1.6977,0.66142392,350,231.498372
437,13.4845,1.6887,0.6156,1.6887,0.64913628,350,227.197698
438,13.4875,1.7097,0.6034,1.7097,0.67806702,350,237.323457
439,13.49,1.6969,0.6109,1.6969,0.66026379,350,231.0923265
440,13.493,1.7009,0.6085,1.7009,0.66590235,350,233.0658225
441,13.496,1.7033,0.6071,1.7033,0.66922657,350,234.2292995
442,13.498,1.7119,0.6021,1.7119,0.68116501,350,238.4077535
443,13.5,1.6948,0.6121,1.6948,0.65741292,350,230.094522
444,13.5025,1.7026,0.6075,1.7026,0.6682705,350,233.894675
445,13.505,1.7112,0.6025,1.7112,0.680202,350,238.0707
446,13.507,1.6619,0.6312,1.6619,0.61290872,350,214.518052
447,13.5095,1.6653,0.6292,1.6653,0.61749324,350,216.122634
448,13.512,1.6629,0.6306,1.6629,0.61427526,350,214.996341
449,0,1.6875,0.6163,1.6875,0.64749375,350,226.6228125
450,0,1.6957,0.6116,1.6957,0.65860988,350,230.513458
451,13.519,1.717,0.5992,1.717,0.6881736,350,240.86076
452,13.5215,1.6942,0.6124,1.6942,0.65667192,350,229.835172
455,13.5285,1.6853,0.6176,1.6853,0.64445872,350,225.560552
456,13.531,1.6976,0.6105,1.6976,0.6612152,350,231.42532
457,13.533,1.7201,0.5974,1.7201,0.69251226,350,242.379291
458,13.536,1.6929,0.6132,1.6929,0.65481372,350,229.184802
459,13.539,1.6731,0.6246,1.6731,0.62808174,350,219.828609
460,13.5415,1.6492,0.6385,1.6492,0.5961858,350,208.66503
461,13.5445,1.6484,0.639,1.6484,0.5950724,350,208.27534
462,13.5475,1.6795,0.6209,1.6795,0.63669845,350,222.8444575
463,13.5505,1.6815,0.6198,1.6815,0.6393063,350,223.757205
464,13.553,1.7009,0.6085,1.7009,0.66590235,350,233.0658225
465,13.5555,1.6918,0.6138,1.6918,0.65337316,350,228.680606
466,13.558,1.6855,0.6175,1.6855,0.64470375,350,225.6463125
467,13.5605,1.69,0.6148,1.69,0.650988,350,227.8458
468,13.563,1.6994,0.6094,1.6994,0.66378564,350,232.324974
469,13.5655,1.6942,0.6124,1.6942,0.65667192,350,229.835172
470,13.568,1.6979,0.6103,1.6979,0.66167163,350,231.5850705
471,13.571,1.6957,0.6115,1.6957,0.65877945,350,230.5728075
472,13.574,1.7145,0.6006,1.7145,0.6847713,350,239.669955
473,13.5765,1.7309,0.5911,1.7309,0.70776501,350,247.7177535
474,13.5795,1.7149,0.6004,1.7149,0.68527404,350,239.845914
475,13.582,1.717,0.5992,1.717,0.6881736,350,240.86076
476,13.585,1.7153,0.6002,1.7153,0.68577694,350,240.021929
477,13.5875,1.7093,0.6037,1.7093,0.67739559,350,237.0884565
478,13.59,1.7249,0.5946,1.7249,0.69927446,350,244.746061
479,13.5925,1.7071,0.6049,1.7071,0.67447521,350,236.0663235
480,13.595,1.7092,0.6037,1.7092,0.67735596,350,237.074586
481,13.5975,1.7095,0.6036,1.7095,0.6776458,350,237.17603
482,13.6,1.7277,0.593,1.7277,0.7031739,350,246.110865
483,13.6025,1.7208,0.597,1.7208,0.6934824,350,242.71884
484,13.605,1.7201,0.5974,1.7201,0.69251226,350,242.379291
485,13.607,1.7086,0.6041,1.7086,0.67643474,350,236.752159
486,13.61,1.7293,0.5921,1.7293,0.70538147,350,246.8835145
487,13.6125,1.7288,0.5923,1.7288,0.70483176,350,246.691116
488,13.615,1.7345,0.589,1.7345,0.7128795,350,249.507825
489,13.618,1.7344,0.5891,1.7344,0.71266496,350,249.432736
490,13.6205,1.7127,0.6017,1.7127,0.68216841,350,238.7589435
491,13.6235,1.74,0.5859,1.74,0.720534,350,252.1869
492,13.626,1.7159,0.5998,1.7159,0.68670318,350,240.346113
493,13.629,1.7303,0.5915,1.7303,0.70682755,350,247.3896425
494,13.6315,1.73,0.5917,1.73,0.706359,350,247.22565
495,13.6345,1.7181,0.5985,1.7181,0.68981715,350,241.4360025
496,13.637,1.7302,0.5915,1.7302,0.7067867,350,247.375345
497,13.6395,1.738,0.587,1.738,0.717794,350,251.2279
498,13.6425,1.7471,0.5817,1.7471,0.73081193,350,255.7841755
499,13.645,1.7222,0.5962,1.7222,0.69542436,350,243.398526
500,13.648,1.7406,0.5855,1.7406,0.7214787,350,252.517545
501,13.65,1.722,0.5963,1.722,0.6951714,350,243.30999
502,13.653,1.7238,0.5953,1.7238,0.69762186,350,244.167651
503,13.6555,1.7326,0.5902,1.7326,0.71001948,350,248.506818
504,13.6585,1.7445,0.5832,1.7445,0.7271076,350,254.48766
505,13.6615,1.7303,0.5915,1.7303,0.70682755,350,247.3896425
506,13.664,1.7367,0.5877,1.7367,0.71604141,350,250.6144935
507,13.667,1.7259,0.5941,1.7259,0.70054281,350,245.1899835
508,13.67,1.7154,0.6001,1.7154,0.68598846,350,240.095961
509,13.6725,1.7374,0.5874,1.7374,0.71685124,350,250.897934
510,13.675,1.7639,0.572,1.7639,0.7549492,350,264.23222
511,13.678,1.7515,0.5792,1.7515,0.7370312,350,257.96092
512,13.6805,1.7447,0.5831,1.7447,0.72736543,350,254.5779005
513,13.683,1.7209,0.5969,1.7209,0.69369479,350,242.7931765
514,13.686,1.7225,0.596,1.7225,0.69589,350,243.5615
515,13.6895,1.7314,0.5908,1.7314,0.70848888,350,247.971108
516,13.692,1.7302,0.5916,1.7302,0.70661368,350,247.314788
517,13.695,1.7311,0.591,1.7311,0.7080199,350,247.806965
518,13.698,1.7319,0.5905,1.7319,0.70921305,350,248.2245675
519,13.701,1.7282,0.5927,1.7282,0.70389586,350,246.363551
520,13.704,1.744,0.5835,1.744,0.726376,350,254.2316
521,13.707,1.7554,0.5769,1.7554,0.74270974,350,259.948409
522,13.7105,1.7347,0.5889,1.7347,0.71313517,350,249.5973095
523,13.7135,1.7508,0.5796,1.7508,0.73603632,350,257.612712
524,13.717,1.7696,0.5687,1.7696,0.76322848,350,267.129968
525,13.72,1.7666,0.5704,1.7666,0.75893136,350,265.625976
526,13.724,1.7891,0.5574,1.7891,0.79185566,350,277.149481
527,13.7275,1.781,0.5621,1.781,0.7798999,350,272.964965
528,13.731,1.7712,0.5678,1.7712,0.76551264,350,267.929424
529,13.734,1.7589,0.5749,1.7589,0.74770839,350,261.6979365
530,13.737,1.7671,0.5701,1.7671,0.75967629,350,265.8867015
531,13.74,1.7754,0.5653,1.7754,0.77176638,350,270.118233
532,13.7425,1.7571,0.5759,1.7571,0.74518611,350,260.8151385
533,13.7455,1.7525,0.5786,1.7525,0.7385035,350,258.476225
534,13.7485,1.775,0.5656,1.775,0.77106,350,269.871
535,13.7515,1.7643,0.5717,1.7643,0.75564969,350,264.4773915
536,13.7545,1.8082,0.5463,1.8082,0.82038034,350,287.133119
537,13.7575,1.7382,0.5869,1.7382,0.71805042,350,251.317647
538,13.761,1.6928,0.6132,1.6928,0.65477504,350,229.171264
539,13.7645,1.7561,0.5765,1.7561,0.74370835,350,260.2979225
540,13.7675,1.7428,0.5842,1.7428,0.72465624,350,253.629684
541,13.7725,1.7665,0.5705,1.7665,0.75871175,350,265.5491125
542,13.7765,1.7313,0.5909,1.7313,0.70827483,350,247.8961905
543,13.7805,1.7257,0.5941,1.7257,0.70046163,350,245.1615705
544,13.7845,1.7633,0.5724,1.7633,0.75398708,350,263.895478
545,13.789,1.7542,0.5776,1.7542,0.74097408,350,259.340928
546,13.7915,1.7398,0.586,1.7398,0.7202772,350,252.09702
547,13.794,1.7572,0.5759,1.7572,0.74522852,350,260.829982
548,13.7965,1.7456,0.5826,1.7456,0.72861344,350,255.014704
549,13.7995,1.7591,0.5747,1.7591,0.74814523,350,261.8508305
550,13.8015,1.7073,0.6048,1.7073,0.67472496,114.29,77.11431568
551,13.8105,1.6889,0.6155,1.6889,0.64938205,114.29,74.21787449
552,13.825,1.7094,0.6036,1.7094,0.67760616,114.29,77.44360803
553,13.84,1.7256,0.5942,1.7256,0.70024848,114.29,80.03139878
554,13.854,1.706,0.6056,1.706,0.6728464,114.29,76.89961506
555,13.869,1.7002,0.609,1.7002,0.6647782,114.29,75.97750048
556,13.8835,1.7046,0.6064,1.7046,0.67093056,114.29,76.6806537
557,13.8985,1.6861,0.6171,1.6861,0.64560769,114.29,73.78650289
558,13.913,1.723,0.5957,1.723,0.6966089,114.29,79.61543118
559,13.9275,1.717,0.5992,1.717,0.6881736,114.29,78.65136074
560,13.942,1.7002,0.609,1.7002,0.6647782,114.29,75.97750048
561,13.958,1.6983,0.6101,1.6983,0.66216717,114.29,75.67908586
562,13.9745,1.7582,0.5753,1.7582,0.74670754,114.29,85.34120475
563,13.9905,1.7328,0.59,1.7328,0.710448,114.29,81.19710192
564,14.007,1.6767,0.6226,1.6767,0.63278658,114.29,72.32117823
565,14.0235,1.6618,0.6312,1.6618,0.61287184,114.29,70.04512259
566,14.04,1.6686,0.6273,1.6686,0.62188722,114.29,71.07549037
567,14.0565,1.6808,0.6202,1.6808,0.63836784,114.29,72.95906043
568,14.073,1.6907,0.6144,1.6907,0.65193392,114.29,74.50952772
569,14.089,1.6901,0.6148,1.6901,0.65102652,114.29,74.40582097
570,14.1055,1.7,0.609,1.7,0.6647,114.29,75.968563
571,14.1195,1.7166,0.5994,1.7166,0.68766996,114.29,78.59379973
572,14.1315,1.6908,0.6144,1.6908,0.65197248,114.29,74.51393474
573,14.1435,1.7124,0.6019,1.7124,0.68170644,114.29,77.91222903
574,14.1545,1.7253,0.5944,1.7253,0.69978168,114.29,79.97804821
575,14.1665,1.7458,0.5825,1.7458,0.7288715,114.29,83.30272374
576,14.1785,1.7556,0.5768,1.7556,0.74296992,114.29,84.91403216
577,14.1905,1.7354,0.5885,1.7354,0.7141171,114.29,81.61644336
578,14.2015,1.7028,0.6074,1.7028,0.66851928,114.29,76.40506851
579,14.2135,1.7183,0.5985,1.7183,0.68989745,114.29,78.84837956
580,14.2255,1.7183,0.5985,1.7183,0.68989745,114.29,78.84837956
581,14.236,1.7132,0.6014,1.7132,0.68288152,114.29,78.04652892
582,14.2455,1.7161,0.5997,1.7161,0.68695483,114.29,78.51206752
583,14.255,1.6665,0.6285,1.6665,0.61910475,114.29,70.75748188
584,14.265,1.7221,0.5963,1.7221,0.69521177,114.29,79.45575319
585,14.2745,1.6664,0.6285,1.6664,0.6190676,114.29,70.753236
586,14.284,1.637,0.6456,1.637,0.5801528,114.29,66.30566351
587,14.2935,1.6571,0.6339,1.6571,0.60666431,114.29,69.33566399
588,14.3035,1.6776,0.622,1.6776,0.6341328,114.29,72.47503771
589,14.313,1.7254,0.5943,1.7254,0.69999478,114.29,80.00240341
590,14.3225,1.7138,0.6011,1.7138,0.68363482,114.29,78.13262358
591,14.332,1.7233,0.5955,1.7233,0.69707485,114.29,79.66868461
592,14.3405,1.7134,0.6013,1.7134,0.68313258,114.29,78.07522257
593,14.3495,1.7209,0.5969,1.7209,0.69369479,114.29,79.28237755
594,14.3575,1.7044,0.6065,1.7044,0.6706814,114.29,76.65217721
595,14.366,1.7444,0.5833,1.7444,0.72689148,114.29,83.07642725
596,14.375,1.7307,0.5912,1.7307,0.70751016,114.29,80.86133619
597,14.3835,1.6566,0.6342,1.6566,0.60598428,114.29,69.25794336
598,14.3925,1.6776,0.622,1.6776,0.6341328,114.29,72.47503771
599,0,1.6633,0.6303,1.6633,0.61492201,114.29,70.27943652
600,0,1.6055,0.6639,1.6055,0.53960855,114.29,61.67186118
601,14.4175,1.6991,0.6096,1.6991,0.66332864,114.29,75.81183027
602,14.425,1.663,0.6305,1.663,0.6144785,114.29,70.22874777
603,14.4325,1.6703,0.6263,1.6703,0.62419111,114.29,71.33880196
606,14.455,1.7042,0.6066,1.7042,0.67043228,114.29,76.62370528
607,14.4625,1.7385,0.5867,1.7385,0.71852205,114.29,82.11988509
608,14.47,1.7031,0.6072,1.7031,0.66897768,114.29,76.45745905
609,14.477,1.6513,0.6373,1.6513,0.59892651,114.29,68.45131083
610,14.4845,1.5925,0.6714,1.5925,0.5232955,114.29,59.8074427
611,14.4925,1.5809,0.6782,1.5809,0.50873362,114.29,58.14316543
612,14.5,1.6382,0.6449,1.6382,0.58172482,114.29,66.48532968
613,14.508,1.6924,0.6134,1.6924,0.65428184,114.29,74.77787149
614,14.5155,1.6947,0.6121,1.6947,0.65737413,114.29,75.13128932
615,14.523,1.668,0.6276,1.668,0.6211632,114.29,70.99274213
616,14.5315,1.6859,0.6172,1.6859,0.64536252,114.29,73.75848241
617,14.539,1.6758,0.6231,1.6758,0.63160902,114.29,72.1865949
618,14.5465,1.6755,0.6233,1.6755,0.63116085,114.29,72.13537355
619,14.5545,1.6803,0.6205,1.6803,0.63767385,114.29,72.87974432
620,14.562,1.6801,0.6206,1.6801,0.63742994,114.29,72.85186784
621,14.569,1.6751,0.6235,1.6751,0.63067515,114.29,72.07986289
622,14.576,1.692,0.6137,1.692,0.6536196,114.29,74.70218408
623,14.583,1.7034,0.6071,1.7034,0.66926586,114.29,76.49039514
624,14.5895,1.6922,0.6136,1.6922,0.65386608,114.29,74.73035428
625,14.596,1.6665,0.6285,1.6665,0.61910475,114.29,70.75748188
626,14.603,1.7189,0.5981,1.7189,0.69082591,114.29,78.95449325
627,14.6095,1.7578,0.5755,1.7578,0.7461861,114.29,85.28160937
628,14.616,1.69,0.6148,1.69,0.650988,114.29,74.40141852
629,14.623,1.6757,0.6231,1.6757,0.63157133,114.29,72.18228731
630,14.6295,1.619,0.656,1.619,0.556936,114.29,63.65221544
631,14.636,1.6287,0.6504,1.6287,0.56939352,114.29,65.0759854
632,14.643,1.6612,0.6315,1.6612,0.6121522,114.29,69.96287494
633,14.65,1.7193,0.5978,1.7193,0.69150246,114.29,79.03181615
634,14.6575,1.6887,0.6156,1.6887,0.64913628,114.29,74.18978544
635,14.6645,1.7149,0.6004,1.7149,0.68527404,114.29,78.31997003
636,14.6715,1.6954,0.6117,1.6954,0.65832382,114.29,75.23982939
637,14.6785,1.6291,0.6502,1.6291,0.56985918,114.29,65.12920568
638,14.686,1.6194,0.6558,1.6194,0.55739748,114.29,63.70495799
639,14.693,1.6898,0.6149,1.6898,0.65074198,114.29,74.37330089
640,14.7,1.7331,0.5898,1.7331,0.71091762,114.29,81.25077479
641,14.707,1.7003,0.6089,1.7003,0.66498733,114.29,76.00140195
642,14.7135,1.7022,0.6078,1.7022,0.66760284,114.29,76.30032858
643,14.7205,1.6896,0.6151,1.6896,0.65032704,114.29,74.3258774
644,14.727,1.7129,0.6016,1.7129,0.68241936,114.29,77.99370865
645,14.7335,1.7385,0.5867,1.7385,0.71852205,114.29,82.11988509
646,14.7405,1.7012,0.6084,1.7012,0.66618992,114.29,76.13884596
647,14.747,1.6801,0.6206,1.6801,0.63742994,114.29,72.85186784
648,14.7535,1.6286,0.6505,1.6286,0.5691957,114.29,65.05337655
649,14.7605,1.6327,0.6481,1.6327,0.57454713,114.29,65.66499149
650,14.767,1.7081,0.6043,1.7081,0.67589517,114.29,77.24805898
651,14.774,1.7253,0.5944,1.7253,0.69978168,114.29,79.97804821
652,14.781,1.7356,0.5884,1.7356,0.71437296,114.29,81.6456856
653,14.788,1.7287,0.5924,1.7287,0.70461812,114.29,80.53080493
654,14.795,1.7354,0.5885,1.7354,0.7141171,114.29,81.61644336
655,14.802,1.7406,0.5855,1.7406,0.7214787,114.29,82.45780062
656,14.8085,1.7314,0.5908,1.7314,0.70848888,114.29,80.9731941
657,14.8155,1.7269,0.5934,1.7269,0.70215754,114.29,80.24958525
658,14.823,1.744,0.5835,1.744,0.726376,114.29,83.01751304
659,14.8295,1.7124,0.6018,1.7124,0.68187768,114.29,77.93180005
660,14.8365,1.7299,0.5917,1.7299,0.70631817,114.29,80.72510365
661,14.843,1.7229,0.5958,1.7229,0.69639618,114.29,79.59111941
662,14.849,1.7202,0.5974,1.7202,0.69255252,114.29,79.15182751
663,14.8545,1.7089,0.6039,1.7089,0.67689529,114.29,77.36236269
664,14.86,1.715,0.6003,1.715,0.6854855,114.29,78.3441378
665,14.866,1.703,0.6073,1.703,0.6687681,114.29,76.43350615
666,14.872,1.7056,0.6058,1.7056,0.67234752,114.29,76.84259806
667,14.878,1.6965,0.6111,1.6965,0.65976885,114.29,75.40498187
668,14.8835,1.7078,0.6045,1.7078,0.6754349,114.29,77.19545472
669,14.889,1.729,0.5922,1.729,0.7050862,114.29,80.5843018
670,14.895,1.7102,0.6031,1.7102,0.67877838,114.29,77.57758105
671,14.901,1.7373,0.5874,1.7373,0.71680998,114.29,81.92421261
672,14.908,1.7251,0.5945,1.7251,0.69952805,114.29,79.94906083
673,14.915,1.7212,0.5967,1.7212,0.69415996,114.29,79.33554183
674,14.9215,1.7315,0.5908,1.7315,0.7085298,114.29,80.97787084
675,14.9285,1.7238,0.5953,1.7238,0.69762186,114.29,79.73120238
676,14.9355,1.7159,0.5998,1.7159,0.68670318,114.29,78.48330644
677,14.9425,1.7229,0.5957,1.7229,0.69656847,114.29,79.61081044
678,14.949,1.6485,0.6389,1.6485,0.59527335,114.29,68.03379117
679,14.956,1.6579,0.6335,1.6579,0.60762035,114.29,69.4449298
680,14.963,1.6771,0.6224,1.6771,0.63327296,114.29,72.3767666
681,14.9695,1.7171,0.5991,1.7171,0.68838539,114.29,78.67556622
682,14.9765,1.7171,0.5991,1.7171,0.68838539,114.29,78.67556622
683,14.983,1.7171,0.5992,1.7171,0.68821368,114.29,78.65594149
684,14.9895,1.7233,0.5955,1.7233,0.69707485,114.29,79.66868461
685,14.9965,1.6851,0.6177,1.6851,0.64421373,114.29,73.6271872
686,15.003,1.6501,0.638,1.6501,0.5973362,114.29,68.2695543
687,15.01,1.6614,0.6314,1.6614,0.61239204,114.29,69.99028625
688,15.0165,1.5971,0.6687,1.5971,0.52911923,114.29,60.4730368
689,15.023,1.6612,0.6315,1.6612,0.6121522,114.29,69.96287494
690,15.03,1.6754,0.6233,1.6754,0.63112318,114.29,72.13106824
691,15.037,1.6461,0.6403,1.6461,0.59210217,114.29,67.67135701
692,15.0445,1.7133,0.6013,1.7133,0.68309271,114.29,78.07066583
693,15.052,1.7067,0.6052,1.7067,0.67380516,114.29,77.00919174
694,15.0595,1.6912,0.6142,1.6912,0.65246496,114.29,74.57022028
695,15.067,1.7069,0.6051,1.7069,0.67405481,114.29,77.03772423
696,15.0745,1.6913,0.6141,1.6913,0.65267267,114.29,74.59395945
697,15.082,1.6914,0.6141,1.6914,0.65271126,114.29,74.59836991
698,15.0895,1.6909,0.6143,1.6909,0.65218013,114.29,74.53766706
699,15.097,1.6876,0.6162,1.6876,0.64770088,114.29,74.02573358
700,15.1045,1.6978,0.6103,1.6978,0.66163266,114.29,75.61799671
701,15.1115,1.7412,0.5851,1.7412,0.72242388,114.29,82.56582525
702,15.1185,1.6755,0.6233,1.6755,0.63116085,114.29,72.13537355
703,15.1255,1.705,0.6062,1.705,0.671429,114.29,76.73762041
704,15.1325,1.6773,0.6222,1.6773,0.63368394,114.29,72.4237375
705,15.1395,1.6887,0.6156,1.6887,0.64913628,114.29,74.18978544
706,15.147,1.6907,0.6144,1.6907,0.65193392,114.29,74.50952772
707,15.154,1.728,0.5928,1.728,0.7036416,114.29,80.41919846
708,15.161,1.6432,0.642,1.6432,0.5882656,114.29,67.23287542
709,15.168,1.6458,0.6405,1.6458,0.5916651,114.29,67.62140428
710,15.175,1.7395,0.5861,1.7395,0.71997905,114.29,82.28640562
711,15.182,1.7188,0.5981,1.7188,0.69078572,114.29,78.94989994
712,15.189,1.7114,0.6024,1.7114,0.68045264,114.29,77.76893223
713,15.196,1.6917,0.6139,1.6917,0.65316537,114.29,74.65027014
714,15.2025,1.7237,0.5953,1.7237,0.69758139,114.29,79.72657706
715,15.21,1.6958,0.6115,1.6958,0.6588183,114.29,75.29634351
716,15.2165,1.7045,0.6064,1.7045,0.6708912,114.29,76.67615525
717,15.224,1.6728,0.6248,1.6728,0.62763456,114.29,71.73235386
718,15.2305,1.7089,0.6039,1.7089,0.67689529,114.29,77.36236269
719,15.2375,1.7172,0.5991,1.7172,0.68842548,114.29,78.68014811
720,15.2445,1.7037,0.6069,1.7037,0.66972447,114.29,76.54280968
721,15.2515,1.6918,0.6138,1.6918,0.65337316,114.29,74.67401846
722,15.2585,1.7153,0.6002,1.7153,0.68577694,114.29,78.37744647
723,15.2655,1.7126,0.6017,1.7126,0.68212858,114.29,77.96047541
724,15.272,1.702,0.6079,1.702,0.6673542,114.29,76.27191152
725,15.279,1.6989,0.6097,1.6989,0.66308067,114.29,75.78348977
726,15.2865,1.7093,0.6037,1.7093,0.67739559,114.29,77.41954198
727,15.2935,1.7193,0.5979,1.7193,0.69133053,114.29,79.01216627
728,15.3005,1.6956,0.6116,1.6956,0.65857104,114.29,75.26808416
729,15.307,1.7331,0.5898,1.7331,0.71091762,114.29,81.25077479
730,15.314,1.7156,0.6,1.7156,0.68624,114.29,78.4303696
731,15.321,1.6631,0.6305,1.6631,0.61451545,114.29,70.23297078
732,15.3285,1.6853,0.6176,1.6853,0.64445872,114.29,73.65518711
733,15.336,1.7412,0.5851,1.7412,0.72242388,114.29,82.56582525
734,15.3435,1.7109,0.6027,1.7109,0.67974057,114.29,77.68754975
735,15.3505,1.6303,0.6495,1.6303,0.57142015,114.29,65.30760894
736,15.3585,1.6432,0.642,1.6432,0.5882656,114.29,67.23287542
737,15.3655,1.7491,0.5806,1.7491,0.73357254,114.29,83.8400056
738,15.373,1.7175,0.5989,1.7175,0.68888925,114.29,78.73315238
739,15.3805,1.7278,0.5929,1.7278,0.70338738,114.29,80.39014366
740,15.388,1.7039,0.6068,1.7039,0.66997348,114.29,76.57126903
741,15.395,1.7206,0.5971,1.7206,0.69322974,114.29,79.22922698
742,15.4005,1.6931,0.6131,1.6931,0.65506039,114.29,74.86685197
743,15.407,1.7033,0.6071,1.7033,0.66922657,114.29,76.48590469
744,15.413,1.7318,0.5906,1.7318,0.70899892,114.29,81.03148657
745,15.419,1.6558,0.6347,1.6558,0.60486374,114.29,69.12987684
746,15.4255,1.6315,0.6488,1.6315,0.5729828,114.29,65.48620421
747,15.4315,1.7021,0.6078,1.7021,0.66756362,114.29,76.29584613
748,15.4375,1.6744,0.6239,1.6744,0.62974184,114.29,71.97319489
749,15.4435,1.6764,0.6227,1.6764,0.63250572,114.29,72.28907874
750,15.4495,1.5951,0.6699,1.5951,0.52654251,114.29,60.17854347
751,15.456,1.5804,0.6784,1.5804,0.50825664,114.29,58.08865139
752,15.4625,1.6006,0.6667,1.6006,0.53347998,114.29,60.97142691
753,15.47,1.6773,0.6222,1.6773,0.63368394,114.29,72.4237375
754,15.477,1.6809,0.6201,1.6809,0.63857391,114.29,72.98261217
755,15.4835,1.6528,0.6365,1.6528,0.6007928,114.29,68.66460911
757,15.4975,1.611,0.6607,1.611,0.5466123,114.29,62.47231977
758,15.5045,1.6598,0.6324,1.6598,0.61014248,114.29,69.73318404
759,15.512,1.6689,0.6271,1.6689,0.62233281,114.29,71.12641685
760,15.5185,1.6581,0.6333,1.6581,0.60802527,114.29,69.49120811
761,15.5255,1.6408,0.6434,1.6408,0.58510928,114.29,66.87213961
762,15.532,1.6232,0.6536,1.6232,0.56227648,114.29,64.2625789
763,15.5385,1.6293,0.65,1.6293,0.570255,114.29,65.17444395
764,15.545,1.6587,0.633,1.6587,0.6087429,114.29,69.57322604
765,15.5515,1.692,0.6137,1.692,0.6536196,114.29,74.70218408
766,15.558,1.6094,0.6616,1.6094,0.54462096,114.29,62.24472952
