Depth1,Age1,TC [%],TOC [%],TIC%,TN [%],δ13C Corg [‰ PDB],δ15N Corg [‰ PDB],Terr [%],CaCO3%,,Depth2,Age2,Ill cryst [d2Theta],Ill [%],Chl [%],Kln [%],,Depth3,Age3,Al,Si,S,Cl,K,Ca,Ti,Mn,Fe,Ni,Zn,Br,Zr,Sr,sorting,skewness,kurtosis,mean(um),Median(um),Clay,Silt,10-63um,TC%2,TN%2,TOC%2,TIC%2,TON%2,CaCO3(%)2,TOC/TN2,TS%,S/C
145.5,7.086,1.25,0.39,0.86,0.07,-22.24,5.33,80.06,7.17,,380.5,13.2955,0.13,43.7,28.1,9.14,,52.5,4.69,5411.5,51812.5,991.5,22717.5,43360.5,53102.5,14619,3927.5,155104.5,198,184.5,308,3401.5,2058,1.05,-0.03,0.83,5.96,5.84,31.8,68.2,23.074381,1.09,0.08,0.34,0.75,0.06,6.22,5.15,0.04,0.04
156.5,7.211,1.03,0.4,0.63,0.08,-22.19,5.1,78.39,5.25,,390.5,13.3365,0.12,46.45,25.88,10.13,,60,4.92,5755,54317,966,21354,44767,62267,13967,4055,154452,202,204,294,3065,2538,1.02,-0.05,0.86,5.68,5.54,33.5,66.5,20.3520593,1.13,0.07,0.31,0.82,0.06,6.82,5.28,0.04,0.03
165.5,7.3155,1.07,0.42,0.65,0.07,-22.16,5.31,77.05,5.42,,410.5,13.4095,0.13,44.36,25.88,11.44,,74,5.35,5771,57372,887,20789,45336,46999,14531,6000,177020,174,185,279,3669,1926,1.01,-0.06,0.87,5.59,5.44,34.1,65.9,19.36263367,0.79,0.07,0.36,0.42,0.09,3.52,6.06,0.04,0.05
175.5,7.453,0.96,0.49,0.47,0.08,-22.23,5.06,79.68,3.92,,430.5,13.4655,0.15,42.13,22.03,12.42,,88,5.67,6692,62172,1095,21042,47856,46381,15944,4890,157908,208,197,284,4121,1716,1.02,-0.1,0.89,4.81,4.6,42.6,57.4,14.6306457,1.14,0.07,0.42,0.72,0.06,5.99,7.35,0.04,0.04
183.5,7.557,1.85,0.52,1.33,0.08,-22.01,5.18,71.77,11.08,,440.5,13.4915,0.13,42.25,26.75,10.37,,97.3,5.87,5918,57372,865.5,21524,45023,48904.5,14808.5,5242.5,177227.5,194.5,217.5,313,2908.5,2254,1.03,-0.04,0.85,6.27,6.11,28.9,71.1,24.58466755,0.78,0.09,0.51,0.27,0.07,2.23,6.64,0.05,0.06
194.5,7.7215,1.3,0.43,0.87,0.08,-22.35,5.17,83.86,7.25,,453.5,13.525,0.12,43.85,24.65,11.25,,110.7,6.18,7482,70865,819,18053,48688,76935,15805,6459,147792,203,210,382,2047,2777,1.04,-0.02,0.84,6.1,6,30.5,69.5,23.95050078,1.18,0.09,0.56,0.63,0.07,5.21,6.9,0.04,0.03
204.5,7.895,1.68,0.45,1.23,0.09,-22.12,5.17,75.86,10.25,,470.5,13.563,0.17,41.62,25.63,11.05,,119.5,6.39,6946,64782,877,21229,48237,70958,15948,9608,174062,199,202,352,2932,2803,1.03,0.02,0.84,6.88,6.9,24.7,75.3,29.2454975,0.97,0.08,0.37,0.6,0.06,5,5.21,0.03,0.03
213.5,8.118,1.53,0.47,1.06,0.08,-22.19,5.33,78.13,8.83,,490.5,13.6185,0.08,42.9,28.39,8.19,,130.8,6.65,7177.5,66869.5,706.5,20364,50016.5,59183.5,16149,5905.5,174339.5,207.5,214.5,292.5,2936.5,2194.5,1.05,0.01,0.83,6.46,6.47,27.8,72.2,26.83044619,0.98,0.09,0.34,0.64,0.06,5.33,4.35,0.04,0.04
224.5,8.526,1.22,0.4,0.82,0.06,-22.01,5.27,71.84,6.83,,520.5,13.703,0.13,37.45,24.48,14.51,,136.8,6.79,6671.5,63914.5,936,22264,48294.5,48977.5,15919.5,4662.5,185592.5,232,209,370,2803,2242,0.95,-0.02,0.87,6.33,6.25,26.3,73.7,22.81577832,1.06,0.1,0.43,0.62,0.07,5.21,5.21,0.04,0.04
233.5,8.982,1.67,0.45,1.22,0.14,-21.81,5.47,64.77,10.17,,528.5,13.729,0.13,44.72,27.06,9.09,,142.8,6.93,5953,57578.5,845.5,19341,39980,95572,13705,4855.5,136205,213.5,157.5,279.5,3690.5,2959,1.07,0.01,0.83,7.03,7.01,24.8,75.2,30.883511,1.37,0.08,0.38,0.99,0.05,8.26,5.74,0.03,0.02
