Depth1,Age1,TC [%],TOC [%],TIC%,TN [%],δ13C Corg [‰ PDB],δ15N Corg [‰ PDB],Terr [%],CaCO3%,,Depth2,Age2,Ill cryst [d2Theta],Ill [%],Chl [%],Kln [%],,Depth3,Age3,Al,Si,S,Cl,K,Ca,Ti,Mn,Fe,Ni,Zn,Br,Zr,Sr,sorting,skewness,kurtosis,mean(um),Median(um),Clay,Silt,10-63um,TC%2,TN%2,TOC%2,TIC%2,TON%2,CaCO3(%)2,TOC/TN2,TS%,S/C
628.5,14.633,1.61,0.65,0.96,0.07,-21.16,2.49,41.27,8,,,,,,,,,862.3,16.53,2613,30646,319,12029,23878,55908,8826,4549,88766,180,105,227,3194,1685,1.14,0.01,0.79,6.9,6.88,27.7,72.3,32.11622338,1.79,0.11,0.59,1.2,0.09,9.99,6.17,0.09,0.05
638.5,14.6975,1.46,0.65,0.81,0.08,-21.19,2.32,42.53,6.75,,,,,,,,,877.3,16.65,4829,54899,305,18668,33885,44705,11188,5198,129411,200,173,416,2677,1997,1.29,0.07,0.72,8.18,8.41,25.7,74.3,42.202817,1.19,0.11,0.71,0.49,0.1,4.07,7.2,0.04,0.04
650.5,14.7685,1.56,0.61,0.95,0.08,-21.02,2.49,36.52,7.92,,,,,,,,,897.2,16.78,2717,35464,589,14855,22933,47457,8337,6581,93802,198,145,445,2218,1815,1.75,0.37,0.8,23.63,32.93,10.9,65.7,53.57554,1.72,0.13,0.51,1.21,0.08,10.06,4.73,0.23,0.13
660.5,14.8355,1.42,0.63,0.79,0.07,-21.07,2.15,38.08,6.58,,,,,,,,,915.5,16.91,4590,65198,1010,27564,32787,67894,11815,12284,134890,244,206,697,1232,2560,1.39,0.36,1.01,24.25,30.33,6.52,81.38,70.75769,1.61,0.12,0.59,1.01,0.08,8.43,5.74,0.26,0.16
670.5,14.8965,1.18,0.62,0.56,0.08,-21.08,1.7,38.47,4.67,,,,,,,,,927.5,16.99,4124,62928,1226,28122,30230,56216,10730,9544,134593,246,188,698,2371,2425,1.23,0.17,0.83,13.63,14.78,9.63,90.35,62.09098847,2.12,0.12,0.54,1.58,0.08,13.13,5.3,0.33,0.16
680.5,14.967,1.66,0.6,1.06,0.08,-21.14,2.25,40.59,8.83,,,,,,,,,934.5,17.04,1633,41505,1223,26874,13874,35237,5350,1955,79585,244,107,665,834,1650,0.93,0.26,1.1,40.82,44.58,0.16,74.74,76.29444,1.08,0.12,0.56,0.51,0.08,4.28,5.55,0.48,0.45
690.5,15.0375,2.06,0.61,1.45,0.1,-21.05,2.16,37.5,12.08,,,,,,,,,939.5,17.08,5275,53484,8887,19049,37137,145724,12145,5701,149007,205,170,404,655,4307,1.04,-0.02,0.85,5.64,5.56,33.9,66.1,20.64625462,1.79,0.11,0.57,1.22,0.09,10.15,6.14,0.79,0.44
700.5,15.1125,1.8,0.68,1.12,0.1,-21.02,2.14,36.29,9.33,,,,,,,,,956.1,17.19,5313,54954,451,16145,38019,65224,12904,4130,135864,211,148,458,1362,2329,1.02,-0.07,0.86,5.95,5.72,31.5,68.5,21.8849492,1.31,0.1,0.58,0.74,0.08,6.13,6.9,0.9,0.69
710.5,15.177,1.63,0.64,0.99,0.1,-21.01,2.63,35.9,8.25,,,,,,,,,969.7,17.29,5952,62577,909,20203,40930,68215,13484,9323,151773,203,228,550,974,2511,1.09,-0.07,0.81,6.01,5.71,33.1,66.9,24.6022223,1.48,0.1,0.57,0.91,0.08,7.59,6.55,0.08,0.05
720.5,15.2425,1.62,0.62,1,0.1,-20.99,2.45,35.52,8.33,,,,,,,,,974.3,17.32,4828,52954,1957,22428,37388,102242,12389,7663,152647,201,194,554,732,3003,1.05,-0.1,0.86,5.76,5.45,34,66,21.211931,1.15,0.12,0.62,0.53,0.09,4.43,5.89,0.35,0.31
729.5,15.307,1.38,0.62,0.76,0.08,-21.16,2.33,41.33,6.33,,,,,,,,,995.7,17.47,5721,58163,400,17530,37647,67029,13226,13672,137376,197,154,432,1485,2477,1.01,-0.13,0.89,4.28,4.03,49.6,50.4,11.4346711,1.79,0.11,0.61,1.18,0.08,9.79,6.29,0.19,0.11
740.5,15.3885,1.22,0.57,0.65,0.08,-21.19,1.89,42.5,5.42,,,,,,,,,1016,17.57,5267,56269,861,18593,37108,49075,13079,21451,143646,224,205,443,2266,2091,1.12,0,0.82,7.61,7.56,22.9,77.1,35.1662553,1.38,0.11,0.62,0.76,0.08,6.35,6.8,0.12,0.08
748.5,15.4405,1.5,0.36,1.14,0.09,-22.19,1.58,78.12,9.5,,,,,,,,,1032.3,17.65,5709,57343,460,17074,38468,66269,13356,18656,139736,153,161,472,636,2213,0.99,-0.14,0.87,4.02,3.76,53.2,46.8,9.4203127,1.74,0.11,0.54,1.2,0.09,10,5.85,0.07,0.04
751.5,15.4625,1.56,0.61,0.95,0.08,-21.01,2.78,36.23,7.92,,,,,,,,,1043.9,17.7,4363,47826,268,16197,32487,49656,11271,5083,128730,203,189,440,2451,2121,1.06,-0.03,0.85,6.84,6.7,25.7,74.3,28.8853143,1.35,0.11,0.63,0.71,0.09,5.95,6.62,0.47,0.35
760.5,15.525,1.46,0.57,0.89,0.08,-21.05,2.17,37.61,7.42,,,,,,,,,1052.5,17.74,3762,46754,438,20328,29550,51047,10591,12128,117529,205,164,512,879,2102,1.39,0.05,0.75,10.83,10.94,18.2,81.8,50.4815691,1.54,0.11,0.51,1.03,0.08,8.57,5.28,0.14,0.09
770.5,15.5725,1.52,0.62,0.9,0.09,-21.06,2.57,37.89,7.5,,,,,,,,,1057.3,17.77,5487,56314,435,19994,39517,75701,13046,8068,135376,185,185,283,3626,1941,0.94,-0.11,0.87,3.67,3.49,57.3,42.7,5.0304264,1.82,0.11,0.66,1.16,0.08,9.66,7.33,0.07,0.04
780.5,15.6465,1.57,0.63,0.94,0.09,-20.88,2.66,31.41,7.83,,,,,,,,,1063,17.79,6277,63138,486,19164,40487,72919,13165,6780,141021,233,173,460,2069,2641,1.13,-0.05,0.79,6.17,5.94,32.7,67.3,27.0443745,1.63,0.11,0.74,0.89,0.09,7.4,8.15,0.05,0.03
790.5,15.7205,1.62,0.65,0.97,0.09,-20.96,2.37,34.11,8.08,,,,,,,,,1111.5,18.02,5799,59725,503,19719,39620,34025,13690,10710,152751,181,213,407,2373,1762,1.07,-0.1,0.82,5.38,5.08,38.4,61.6,20.3299914,1.11,0.1,0.83,0.27,0.1,2.27,9.89,0.05,0.05
800.5,15.8025,1.46,0.59,0.87,0.08,-21.11,3.74,39.81,7.25,,,,,,,,,1122.8,18.07,2724,29870,187,10446,23638,41202,8373,4053,87580,214,137,310,1895,1835,1.12,-0.02,0.79,6.19,6.06,32.1,67.9,27.2069852,1.54,0.1,0.58,0.96,0.07,7.99,6.93,0.06,0.04
810.5,15.8815,1.52,0.61,0.91,0.09,-20.95,4.48,34.02,7.58,,,,,,,,,1136.3,18.13,3921,42258,520,14848,32058,51609,11315,7724,118733,230,165,249,3054,1673,1.07,-0.06,0.84,5.77,5.58,34,66,22.42692382,1.58,0.1,0.62,0.96,0.08,8,6.91,0.1,0.06
820.5,15.9715,1.49,0.67,0.82,0.1,-20.97,4.03,34.47,6.83,,,,,,,,,1148.5,18.19,6119,65486,719,20928,40572,64297,13328,10188,139566,237,213,449,3427,2455,1.22,0.01,0.69,6.97,6.88,30.4,69.6,36.81530543,1.49,0.1,0.94,0.55,0.13,4.55,10.82,0.04,0.03
833.5,16.082,1.28,0.64,0.64,0.09,-20.79,3.28,28.38,5.33,,,,,,,,,1160,18.24,5920,57915,274,18470,40044,69539,13548,5833,137978,191,183,459,2944,2566,1.09,0.05,0.81,7.63,7.79,22.2,77.8,35.89463064,1.14,0.1,0.64,0.51,0.08,4.22,7.58,0.05,0.04
843.5,16.1965,1.62,0.64,0.98,0.1,-20.28,2.92,9.87,8.17,,,,,,,,,1179.5,18.33,6521,63541,536,20975,43512,76200,13635,9280,146329,203,195,447,821,2597,1.11,-0.08,0.8,5.92,5.58,34.4,65.6,24.5920742,1.62,0.1,0.58,1.04,0.08,8.69,6.83,0.07,0.05
853.5,16.328,1.5,0.65,0.85,0.1,-20.14,2.06,5.01,7.08,,,,,,,,,1195,18.41,4442,45977,435,15316,33547,64459,11073,10472,122941,220,175,393,2051,2256,0.85,0.02,0.85,2.47,2.47,76.7,23.3,0,1.72,0.1,0.73,1,0.09,8.33,8.83,0.04,0.02
857.5,16.3795,1.17,0.63,0.54,0.11,-19.31,1.94,-24.62,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860.5,16.429,1.69,0.6,1.09,0.09,-21.19,2.9,42.44,9.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870.5,16.565,2.01,0.65,1.36,0.09,-21,2.66,35.64,11.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880.5,16.653,1.56,0.66,0.9,0.09,-20.69,2.35,24.8,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890.5,16.757,1.45,0.64,0.81,0.1,-20.69,2.87,24.69,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898.5,16.8235,1.7,0.71,0.99,0.1,-20.61,3.38,21.93,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910.5,16.9015,1.67,0.7,0.97,0.1,-20.36,3.3,12.76,8.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920.5,16.951,1.65,0.69,0.96,0.11,-20.33,3.46,11.96,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928.5,16.9975,1.68,0.77,0.91,0.11,-20.35,3,12.36,7.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932.5,17.016,0.97,0.59,0.38,0.11,-19.05,1.96,-34,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937.5,17.043,1.74,0.62,1.12,0.1,-21.21,3.32,43.34,9.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940.5,17.0615,1.73,0.66,1.07,0.1,-20.98,2.58,34.88,8.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950.5,17.11,1.36,0.66,0.7,0.1,-20.92,2.78,33.02,5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960.5,17.163,1.59,0.62,0.97,0.09,-20.75,2.97,26.81,8.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970.5,17.228,1.55,0.68,0.87,0.1,-20.8,3.32,28.41,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980.5,17.3115,1.5,0.6,0.9,0.09,-20.85,3.09,30.42,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990.5,17.4005,1.62,0.63,0.99,0.09,-20.74,3.59,26.57,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000.5,17.4765,1.63,0.66,0.97,0.1,-20.82,3.13,29.13,8.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010.5,17.5225,1.65,0.68,0.97,0.09,-20.97,2.89,34.49,8.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020.5,17.5825,1.11,0.67,0.44,0.09,-21.31,1.09,46.76,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030.5,17.6445,1.65,0.69,0.96,0.09,-20.93,1.32,33.18,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040.5,17.704,1.68,0.66,1.02,0.09,-20.97,0.78,34.52,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048.5,17.7435,1.99,0.69,1.3,0.08,-20.99,1.73,35.32,10.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058.5,17.8055,1.7,0.64,1.06,0.1,-21.18,1.88,42.25,8.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068.5,17.848,1.63,0.63,1,0.1,-21.01,2.13,36.11,8.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078.5,17.893,1.67,0.66,1.01,0.1,-21.14,1.57,40.84,8.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088.5,17.948,1.74,0.7,1.04,0.11,-21.02,1.7,36.48,8.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098.5,17.984,1.67,0.64,1.03,0.1,-21.19,1.29,42.51,8.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108.5,18.025,1.65,0.64,1.01,0.09,-21.13,0.59,40.43,8.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113.5,18.0485,0.85,0.6,0.25,0.1,-21.19,1.83,42.52,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116.5,18.0565,1.29,0.66,0.63,0.1,-20.34,-1.64,12.21,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120.5,18.076,1.63,0.61,1.02,0.09,-21.3,1.52,46.5,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130.5,18.1155,1.44,0.61,0.83,0.09,-21.41,1.75,50.34,6.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140.5,18.1605,1.6,0.65,0.95,0.1,-21.11,2.03,39.65,7.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150.5,18.199,1.63,0.67,0.96,0.1,-20.97,2.78,34.64,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160.5,18.2355,1.7,0.62,1.08,0.1,-21.22,1.73,43.65,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170.5,18.2715,1.59,0.64,0.95,0.11,-21.26,1.68,45.09,7.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180.5,18.3205,1.67,0.57,1.1,0.11,-21.44,1.05,51.49,9.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190.5,18.368,1.72,0.57,1.15,0.11,-21.31,1.18,46.62,9.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.5,18.4,1.7,0.57,1.13,0.1,-21.25,2.17,44.66,9.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210.5,18.452,1.65,0.62,1.03,0.1,-21.25,1.84,44.78,8.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220.5,18.504,1.88,0.67,1.21,0.11,-21.29,1.51,46.1,10.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230.5,18.559,1.67,0.59,1.08,0.11,-21.41,1.74,50.24,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240.5,18.6115,1.73,0.55,1.18,0.11,-21.24,1.66,44.31,9.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250.5,18.668,1.73,0.6,1.13,0.11,-21.2,1.25,42.98,9.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260.5,18.7315,1.74,0.6,1.14,0.11,-21.09,1.97,39.1,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270.5,18.7795,1.7,0.65,1.05,0.12,-21.23,1.91,43.82,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279.5,18.833,1.64,0.56,1.08,0.1,-21.34,2.39,47.73,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289.5,18.9035,1.55,0.6,0.95,0.11,-21.27,2.33,45.43,7.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300.5,18.995,1.19,0.56,0.63,0.11,-21.63,1.99,58.04,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310.5,19.0765,1.58,0.59,0.99,0.11,-21.3,2.23,46.37,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320.5,19.1555,1.46,0.62,0.84,0.11,-21.31,2.27,46.81,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330.5,19.236,1.3,0.58,0.72,0.11,-21.39,2.64,49.71,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340.5,19.292,1.24,0.55,0.69,0.1,-22.07,1,73.75,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348.5,19.349,1.53,0.65,0.88,0.11,-21.68,1.34,60.08,7.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351.5,19.36,1.59,0.69,0.9,0.12,-20.91,1.6,32.58,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1360.5,19.406,1.6,0.68,0.92,0.1,-21.2,1.58,42.93,7.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1370.5,19.4555,1.39,0.6,0.79,0.1,-21.22,1.78,43.62,6.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1380.5,19.498,1.46,0.69,0.77,0.11,-21.27,2.37,45.24,6.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1390.5,19.557,1.46,0.75,0.71,0.11,-21.33,2.34,47.6,5.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1397.5,19.586,1.04,0.61,0.43,0.1,-21.34,1.16,47.91,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1406.5,19.6315,1.64,0.69,0.95,0.11,-20.91,1.55,32.33,7.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1417.5,19.6855,1.43,0.62,0.81,0.1,-21.2,1.75,42.88,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1429.5,19.746,1.48,0.66,0.82,0.11,-21.08,0.94,38.63,6.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1440.5,19.7985,1.43,0.69,0.74,0.11,-20.98,1.5,34.92,6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450.5,19.8565,1.19,0.62,0.57,0.11,-21,1.56,35.7,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460.5,19.907,1.37,0.79,0.58,0.1,-20.58,0.4,20.73,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465.5,19.937,1.39,0.72,0.67,0.11,-21.67,1.8,59.57,5.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475.5,19.9835,1.34,0.61,0.73,0.1,-21.66,2.11,59.27,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485.5,20.048,1.22,0.61,0.61,0.1,-21.31,1.86,46.69,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495.5,20.107,0.86,0.59,0.27,0.1,-21.8,2.92,64.19,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504.5,20.1515,1.36,0.68,0.68,0.1,-21.39,1.97,49.82,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514.5,20.219,1.29,0.61,0.68,0.1,-21.32,1.98,47.18,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524.5,20.291,1.34,0.63,0.71,0.1,-21.26,2.13,45.07,5.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1534.5,20.3695,0.91,0.54,0.37,0.09,-21.59,1.52,56.94,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544.5,20.4535,1.54,0.56,0.98,0.09,-21.53,1.23,54.7,8.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1554.5,20.507,1.45,0.58,0.87,0.09,-21.33,2.7,47.64,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564.5,20.5995,1.23,0.65,0.58,0.09,-21.5,2.38,53.63,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574.5,20.6805,1.33,0.53,0.8,0.09,-21.44,1.4,51.6,6.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584.5,20.765,1.51,0.56,0.95,0.1,-21.32,1.56,47.19,7.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594.5,20.84,1.59,0.56,1.03,0.1,-21.18,2.52,42.29,8.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604.5,20.913,1.6,0.6,1,0.1,-21.19,2.8,42.52,8.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614.5,20.9845,1.6,0.6,1,0.1,-21.17,3.16,41.85,8.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1624.5,21.048,1.6,0.58,1.02,0.09,-21.17,3.1,41.88,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634.5,21.118,1.53,0.56,0.97,0.09,-21.18,2.66,41.98,8.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1644.5,21.1695,1.54,0.59,0.95,0.09,-21.14,1.41,40.69,7.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654.5,21.2325,1.46,0.51,0.95,0.09,-21.08,1.91,38.46,7.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1664.5,21.281,1.52,0.59,0.93,0.1,-21.16,1.96,41.34,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1674.5,21.3405,1.45,0.57,0.88,0.1,-21.28,3.07,45.75,7.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684.5,21.3955,0.77,0.42,0.35,0.09,-21.53,1.44,54.71,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694.5,21.451,1.63,0.55,1.08,0.1,-21.23,1.71,44.05,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704.5,21.506,1.41,0.55,0.86,0.1,-21.3,3.76,46.41,7.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715.5,21.5695,1.26,0.55,0.71,0.1,-21.52,1.48,54.24,5.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725.5,21.622,1.15,0.54,0.61,0.1,-21.33,1.39,47.46,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734.5,21.6765,1.51,0.57,0.94,0.09,-21.41,-0.87,50.25,7.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744.5,21.7275,1.37,0.55,0.82,0.09,-21.36,0.63,48.58,6.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754.5,21.7945,1.45,0.55,0.9,0.1,-21.25,5.12,44.68,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764.5,21.853,1.35,0.52,0.83,0.1,-21.43,1.07,51.19,6.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1774.5,21.9175,1.36,0.62,0.74,0.1,-21.32,1.73,47.2,6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784.5,21.9805,0.87,0.51,0.36,0.1,-21.5,1.83,53.52,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790.5,22.0235,1.1,0.6,0.5,0.1,-21.39,0.99,49.75,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802.5,22.1035,1.38,0.51,0.87,0.1,-20.88,1.75,31.45,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812.5,22.1815,1.01,0.47,0.54,0.09,-21.67,1.66,59.69,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822.5,22.26,0.87,0.53,0.34,0.1,-21.67,1.76,59.69,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1832.5,22.361,1.05,0.53,0.52,0.1,-21.56,1.75,55.76,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842.5,22.44,1.11,0.53,0.58,0.1,-21.48,2.81,52.8,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.5,22.4705,1.18,0.55,0.63,0.1,-21.47,3.05,52.62,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862.5,22.507,1.1,0.49,0.61,0.09,-21.48,3.32,52.89,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872.5,22.543,0.76,0.47,0.29,0.1,-21.56,2.75,55.89,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882.5,22.5805,1.16,0.5,0.66,0.09,-21.31,5.14,46.96,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892.5,22.623,1.24,0.51,0.73,0.1,-21.24,4.87,44.16,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902.5,22.6625,1.17,0.51,0.66,0.09,-21.44,5.06,51.37,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912.5,22.704,1.51,0.5,1.01,0.09,-21.23,5.27,43.92,8.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922.5,22.743,1.48,0.51,0.97,0.09,-21.17,4.7,41.66,8.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932.5,22.7825,1.52,0.54,0.98,0.1,-21.02,5.25,36.58,8.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942.5,22.823,1.32,0.53,0.79,0.1,-20.09,4.87,3.2,6.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951.5,22.8535,0.83,0.46,0.37,0.1,-21.12,4.86,39.96,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
